Male Node ID,Female Node ID
m3626,f12375
m3770,f6248
m18096,f14343
m17224,f9541
m15584,f17620
m13596,f10672
m3488,f3230
m4998,f3174
m1703,f15557
m4715,f15491
m7169,f2647
m17033,f5133
m7359,f5958
m6636,f5963
m10622,f3206
m3198,f9229
m10813,f3530
m7568,f15676
m7728,f18272
m17619,f8939
m7009,f2484
m6079,f9497
m7486,f422
m12538,f10908
m6330,f10292
m9739,f8270
m15587,f10624
m1473,f12609
m176,f5471
m15357,f5070
m11104,f9220
m8533,f5859
m14298,f10443
m12177,f6744
m5773,f11729
m9220,f3939
m15536,f6325
m6898,f347
m13856,f5779
m2752,f9665
m2091,f8406
m9582,f13702
m18485,f7983
m11001,f3658
m3216,f14127
m18271,f16822
m7792,f11717
m10505,f13846
m9891,f11666
m7268,f12818
m2488,f16560
m7116,f12194
m287,f11741
m6881,f17544
m9419,f11029
m12720,f2443
m8035,f10072
m12122,f970
m10712,f12406
m17440,f15734
m15192,f13444
m3080,f3942
m10518,f4866
m2176,f4738
m13139,f9978
m6008,f17228
m10684,f13568
m12077,f12241
m3940,f13492
m3459,f16756
m15911,f13174
m3530,f14168
m7243,f11494
m10773,f6404
m3767,f15596
m12581,f8496
m15592,f9813
m3390,f1788
m18303,f8317
m2210,f543
m16087,f15389
m13558,f13353
m1357,f6192
m2023,f4632
m12794,f10359
m12696,f9540
m14392,f14693
m5224,f4900
m9577,f4549
m673,f10743
m3772,f14586
m11848,f9307
m5378,f3602
m18015,f2147
m12555,f9202
m17300,f15815
m6110,f5993
m12766,f4186
m9145,f14107
m7950,f11247
m5643,f12726
m11091,f17278
m6011,f18076
m14765,f7304
m17949,f13496
m15537,f9153
m8101,f6592
m13427,f17242
m1077,f5657
m4953,f13713
m12533,f14883
m16474,f1725
m10328,f2506
m6064,f8562
m16724,f3505
m15254,f9573
m7156,f15102
m13267,f2711
m2359,f1969
m4926,f2745
m6568,f10187
m10517,f8529
m13119,f11474
m3554,f15698
m5843,f4817
m13839,f17643
m5344,f874
m9933,f4746
m17020,f7458
m13043,f2993
m3070,f4731
m17552,f13045
m16043,f14791
m15638,f18240
m537,f12006
m18375,f12045
m6565,f5557
m3544,f15038
m11668,f8229
m10205,f15585
m15599,f14885
m10166,f7309
m16012,f7936
m18214,f17502
m5282,f9697
m8639,f9401
m8414,f2669
m8325,f3155
m5712,f306
m17676,f14219
m15297,f4222
m4925,f15700
m14882,f3650
m5546,f2537
m16103,f13847
m8085,f415
m7551,f6188
m7304,f5792
m3181,f4045
m3297,f1522
m1403,f10117
m3332,f15271
m8583,f11446
m15728,f14015
m298,f4587
m12422,f1757
m16408,f2450
m16248,f4852
m11214,f11441
m4905,f16367
m3178,f7691
m3134,f11876
m17306,f16170
m15903,f8360
m11811,f3798
m16361,f13263
m12929,f1650
m12500,f13044
m17106,f17626
m3796,f16052
m16219,f4801
m2158,f1086
m13806,f8663
m1074,f16173
m13030,f2306
m16216,f3209
m10113,f18048
m11027,f13344
m5821,f16759
m10537,f12735
m4808,f14600
m14910,f3963
m8779,f4962
m11971,f2516
m12145,f12777
m1782,f14328
m1969,f5683
m4902,f5486
m12604,f9466
m7090,f14655
m3905,f14337
m8951,f9635
m12233,f652
m12200,f11584
m6624,f2004
m7404,f4847
m77,f1490
m6164,f8149
m11921,f5848
m1843,f10282
m15066,f5881
m623,f2362
m6456,f17740
m3616,f14391
m8731,f945
m969,f1621
m7118,f6999
m14280,f16047
m12778,f16278
m17879,f8212
m12575,f17037
m14815,f231
m106,f8861
m3315,f13201
m11699,f6214
m13820,f5558
m11174,f1971
m15801,f9116
m11858,f10899
m2695,f3984
m965,f8190
m10319,f6429
m154,f6882
m2529,f7789
m6071,f8416
m648,f7280
m1983,f787
m2355,f8959
m7942,f11214
m12816,f17336
m14736,f15782
m2614,f13735
m9228,f16846
m7989,f10769
m13712,f1820
m9795,f3108
m14869,f8284
m10965,f4446
m18085,f8201
m2113,f3460
m7491,f15962
m16449,f6617
m5836,f2388
m7401,f18319
m13273,f7109
m9409,f11986
m7773,f2118
m9375,f3687
m9311,f5707
m10429,f15125
m14481,f12167
m14987,f14721
m3379,f9940
m12853,f1187
m17418,f9252
m909,f3338
m3908,f16296
m12429,f8302
m17504,f16702
m8121,f2838
m15280,f13949
m13213,f15349
m11941,f14379
m7288,f5428
m7175,f2483
m10514,f10706
m6561,f998
m14066,f15488
m13238,f1123
m40,f6501
m16673,f4722
m10293,f3595
m13340,f18149
m738,f10728
m4346,f17639
m13692,f10673
m16331,f15314
m16367,f5627
m2649,f6557
m1311,f8934
m29,f14353
m10845,f4540
m11177,f2084
m4421,f3486
m3057,f28
m5997,f7440
m10303,f16108
m9533,f9054
m12056,f12943
m15706,f17890
m333,f12435
m8739,f13590
m17731,f9098
m15327,f9845
m16944,f11836
m18126,f16174
m10932,f7540
m4377,f2053
m7741,f18167
m4076,f7048
m4457,f2453
m11421,f7178
m2010,f12390
m11548,f16159
m5837,f5344
m11817,f13020
m4531,f2618
m16879,f12440
m15414,f4871
m12910,f7255
m9078,f2289
m4825,f7441
m15567,f757
m14631,f14495
m4113,f6811
m8217,f10803
m13765,f82
m15060,f2212
m14561,f17734
m10436,f13269
m13379,f10247
m13521,f17999
m3952,f821
m4476,f15754
m15628,f14016
m2925,f7168
m631,f15091
m487,f14340
m1575,f9794
m17863,f5527
m6225,f17395
m17809,f17239
m2643,f8895
m4823,f2244
m12652,f14499
m2547,f9632
m13974,f4775
m13144,f4627
m17216,f18217
m16758,f3082
m13937,f13286
m6918,f1365
m8016,f3409
m13662,f14688
m9279,f4521
m12743,f10173
m15448,f16995
m11572,f2189
m12613,f12070
m3582,f2062
m1866,f3455
m8331,f9351
m13170,f6396
m1882,f3342
m16931,f17189
m15125,f2050
m9406,f14224
m12563,f14058
m3988,f6573
m15756,f2260
m16521,f13688
m5464,f17856
m3228,f4260
m14143,f8526
m13438,f8125
m1951,f16690
m2504,f16863
m16648,f5154
m9737,f14728
m13568,f2724
m15471,f3320
m14557,f14122
m13176,f8110
m13683,f11881
m16229,f6728
m11481,f11424
m3370,f11475
m7197,f18184
m6937,f16186
m1834,f5692
m12224,f2815
m17032,f4355
m8219,f1740
m14573,f3302
m16741,f16685
m6150,f9194
m8717,f4163
m6533,f5834
m15857,f17431
m967,f17437
m9255,f1855
m17669,f7874
m6112,f15539
m438,f10166
m39,f1512
m3211,f4664
m10829,f8114
m11652,f5841
m6724,f7307
m14282,f4245
m1867,f4327
m12174,f14540
m13665,f18507
m8352,f10135
m13703,f8507
m7417,f11609
m8787,f7836
m12226,f232
m2807,f11514
m746,f6822
m18292,f9565
m14112,f13012
m12035,f4360
m18013,f8472
m13566,f17146
m8629,f17275
m528,f5949
m11479,f18139
m1595,f95
m1399,f14106
m3049,f10039
m6152,f15384
m7920,f5115
m17782,f6164
m18435,f13325
m3149,f10422
m4111,f12034
m3523,f16073
m1067,f10662
m1082,f9292
m10284,f15776
m11776,f10057
m7733,f8297
m3913,f595
m2288,f16398
m17659,f5862
m13114,f14358
m5813,f15139
m7914,f7627
m6266,f17167
m10680,f7502
m5620,f16510
m1500,f15789
m12517,f7904
m3539,f9293
m16472,f17936
m13976,f6303
m6917,f8801
m14717,f8476
m16042,f11507
m5144,f13695
m5130,f3536
m4116,f8656
m10398,f4861
m4126,f11747
m8844,f14264
m16927,f16724
m9652,f5058
m2142,f4516
m16031,f13668
m1674,f12922
m7392,f14184
m9565,f18466
m7342,f4299
m14482,f9717
m288,f13150
m6184,f4591
m14511,f10211
m12894,f12902
m3711,f4146
m15170,f16750
m6693,f2913
m18007,f17778
m2118,f2129
m7983,f7209
m2340,f3141
m9469,f5473
m18165,f4907
m10774,f12990
m825,f2662
m1552,f13440
m14117,f12797
m9934,f16307
m3171,f14400
m3118,f17611
m4195,f1250
m1190,f2180
m9458,f8902
m17244,f719
m6976,f6190
m9829,f18121
m11428,f13257
m14512,f14563
m15967,f1272
m1794,f1993
m16492,f9550
m11801,f9771
m18257,f4287
m6464,f13666
m4363,f6172
m18309,f11270
m1472,f16191
m12165,f1998
m11248,f14287
m11238,f9208
m17617,f7700
m11338,f13681
m3602,f2760
m12574,f14420
m5841,f10381
m12425,f6272
m16212,f4776
m14408,f10992
m332,f12626
m14163,f10609
m3567,f12270
m2315,f7489
m14101,f8155
m10892,f1558
m9930,f16791
m12438,f11925
m2439,f15182
m3234,f13562
m3764,f18092
m7686,f2805
m7112,f15773
m8310,f6514
m17900,f16784
m1684,f14977
m16686,f2756
m6230,f17603
m7129,f10577
m17449,f8444
m10465,f5075
m15957,f3760
m15996,f1211
m16848,f9843
m1659,f2538
m17434,f12077
m3194,f9389
m191,f15798
m16904,f9601
m2480,f10061
m15488,f5412
m8273,f13030
m9316,f4826
m7602,f10403
m17801,f631
m4095,f4212
m1152,f11337
m16111,f8603
m14377,f3418
m16291,f12315
m15507,f17827
m5832,f853
m2588,f2032
m15809,f17804
m17431,f269
m2316,f15492
m8550,f9341
m2955,f3254
m4131,f13426
m3051,f16930
m1475,f11629
m6424,f15472
m12868,f14038
m6526,f8310
m8096,f15747
m12565,f5212
m10349,f8320
m1258,f15159
m9501,f15438
m9060,f5537
m5380,f12700
m14272,f16537
m6740,f11810
m15087,f18193
m1687,f2294
m399,f10821
m16317,f141
m15230,f12948
m14365,f752
m15740,f5209
m15723,f7911
m12616,f1748
m14639,f5553
m14897,f11574
m3760,f14182
m12439,f7520
m12770,f13173
m15127,f9339
m707,f14817
m2990,f10413
